HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Feyenoord,Excelsior,5,1,56%,44%,22,12,4,1,5,2,0,4,490,382,14,3,418 (85%),287 (75%),2 (18%),5 (50%),36 (58%),42 (42%),16,18,10,10,10,20,2,7,4
FC Heerenveen,Cambuur (Leeuwarden),2,1,59%,41%,15,4,1,7,2,2,1,3,520,362,11,5,416 (80%),259 (71%),8 (26%),1 (5%),27 (40%),36 (45%),13,27,9,12,14,36,1,2,1
FC Groningen,Fortuna (Sittard),2,3,55%,45%,12,15,4,3,4,5,0,6,402,325,11,14,328 (81%),256 (78%),5 (20%),11 (55%),24 (38%),25 (51%),23,17,6,8,14,27,3,1,-1
NEC (NEC),FC Waalwijk,6,1,66%,34%,27,10,12,5,1,1,1,7,582,299,20,3,527 (90%),228 (76%),7 (22%),1 (20%),20 (66%),19 (29%),17,16,8,4,4,20,2,6,5
PSV (Eindhoven),AZ Alkmaar,0,1,58%,42%,10,10,2,3,4,2,3,0,572,423,10,8,457 (79%),302 (71%),7 (25%),1 (12%),35 (43%),31 (28%),21,22,6,11,8,33,2,1,-1
FC Emmen,Ajax,3,3,43%,57%,15,10,3,0,5,1,1,1,418,586,11,10,337 (80%),508 (86%),4 (25%),2 (20%),34 (44%),30 (41%),12,16,4,8,18,12,2,2,0
FC Volendam,FC Utrecht,0,4,38%,62%,12,13,5,2,5,5,2,2,333,566,9,12,257 (77%),479 (84%),3 (20%),5 (31%),33 (47%),48 (61%),10,23,11,6,13,14,4,2,-4
Sparta (Rotterdam),Twente (Enschede),1,1,37%,63%,11,17,5,8,3,7,0,1,322,540,7,12,209 (64%),445 (82%),4 (50%),6 (31%),48 (40%),31 (46%),24,7,18,12,17,18,4,1,0
FC Waalwijk,AZ Alkmaar,3,1,46%,54%,17,12,3,5,8,5,2,2,434,535,12,9,342 (78%),449 (83%),4 (20%),2 (13%),18 (24%),44 (41%),25,19,5,14,11,26,5,4,2
FC Volendam,Feyenoord,0,2,40%,60%,23,12,2,3,6,8,2,3,290,455,1,17,188 (64%),353 (77%),1 (5%),3 (20%),33 (35%),30 (41%),18,21,14,6,24,30,9,2,-2
Twente (Enschede),Go Eagles FC Ehead,1,1,60%,40%,27,13,13,4,1,1,6,5,479,320,15,10,378 (78%),220 (68%),5 (29%),3 (21%),44 (45%),35 (39%),21,15,3,15,18,25,1,5,0
FC Utrecht,FC Groningen,2,1,51%,49%,20,5,1,6,5,1,1,3,452,441,16,5,347 (76%),337 (76%),9 (40%),2 (8%),35 (38%),32 (35%),25,16,10,8,23,22,0,4,1
Excelsior,FC Heerenveen,0,1,48%,52%,11,5,2,7,2,1,1,0,422,475,9,6,330 (78%),387 (81%),10 (38%),0 (0%),33 (42%),30 (41%),11,12,13,14,13,22,3,1,-1
Fortuna (Sittard),FC Emmen,0,1,56%,44%,14,15,4,4,8,3,2,1,453,377,7,11,354 (78%),285 (75%),7 (21%),0 (0%),39 (53%),36 (35%),16,20,13,7,12,37,5,1,-1
Vitesse (Arnhem),Sparta (Rotterdam),0,4,51%,49%,14,11,4,2,5,3,0,1,443,440,8,9,340 (76%),334 (75%),3 (14%),3 (25%),24 (34%),47 (53%),13,17,8,7,16,23,2,4,-4
Cambuur (Leeuwarden),NEC (NEC),0,1,56%,44%,16,23,11,5,4,5,6,2,471,388,13,17,405 (85%),314 (80%),7 (20%),7 (50%),33 (52%),27 (46%),9,12,8,9,17,26,10,6,-1
Ajax,Vitesse (Arnhem),2,2,70%,30%,34,10,19,7,0,8,7,1,675,283,27,9,588 (87%),194 (68%),17 (36%),3 (23%),20 (44%),25 (31%),16,16,8,11,11,48,6,6,0
AZ Alkmaar,FC Volendam,2,1,32%,68%,12,18,2,7,5,9,3,5,258,524,9,16,168 (65%),443 (84%),3 (33%),11 (30%),34 (34%),26 (38%),24,17,9,11,40,5,5,2,1
PSV (Eindhoven),NEC (NEC),3,0,53%,47%,13,12,1,2,1,0,5,4,507,452,11,5,429 (84%),369 (81%),5 (22%),4 (33%),17 (40%),24 (51%),25,21,12,7,10,18,2,4,3
Twente (Enschede),FC Waalwijk,3,0,62%,38%,19,10,3,4,6,4,1,1,523,312,13,6,433 (82%),230 (73%),4 (25%),2 (25%),24 (38%),13 (29%),16,11,8,14,12,18,0,3,3
FC Emmen,FC Groningen,0,0,50%,50%,15,13,7,6,9,5,1,0,402,405,12,10,311 (77%),304 (75%),6 (22%),3 (20%),33 (37%),37 (43%),20,24,10,9,11,29,1,4,0
Go Eagles FC Ehead,Excelsior,3,1,55%,45%,15,1,0,6,3,0,4,457,457,367,12,7,369 (80%),265 (72%),5 (23%),1 (7%),45 (54%),39 (41%),5,15,10,12,13,25,3,5,2
Sparta (Rotterdam),Fortuna (Sittard),3,1,50%,50%,14,13,4,4,1,0,6,6,396,399,11,12,339 (85%),341 (85%),9 (24%),5 (20%),44 (57%),30 (45%),9,12,5,4,20,24,2,2,2
FC Heerenveen,FC Utrecht,1,2,61%,39%,17,3,1,4,3,0,3,2,558,365,14,3,473 (84%),284 (77%),12 (40%),1 (8%),34 (53%),42 (48%),14,17,5,12,10,18,0,7,-1
