HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
FC Kortrijk,Royal Antwerp,2,1,38%,62%,13,21,5,8,0,1,0,7,312,502,8,15,223 (71%),415 (82%),1 (14%),2 (11%),49 (53%),32 (53%),9,15,9,6,25,15,4,2,1
Gent,Cercle Brugge (Brujas),3,4,63%,37%,12,14,1,2,0,1,6,4,490,290,8,8,377 (76%),182 (62%),7 (41%),2 (15%),54 (47%),19 (26%),14,21,7,18,18,16,1,3,-1
Anderlecht (Bryuscel),FC Charleroi,0,1,60%,40%,20,6,2,14,5,3,5,2,513,361,17,5,427 (83%),273 (75%),9 (26%),1 (11%),24 (40%),34 (37%),12,21,8,13,8,33,1,7,-1
Club Brujas,FC Malinas,3,0,56%,44%,22,11,4,1,5,3,1,1,579,449,17,5,492 (84%),367 (81%),2 (25%),1 (9%),49 (55%),35 (44%),17,15,11,14,14,23,2,8,3
KV Oostende,FC Genk,1,2,32%,68%,12,11,4,3,2,6,0,3,259,570,10,9,173 (66%),480 (84%),1 (10%),4 (19%),35 (34%),40 (59%),34,13,14,4,23,8,4,6,-1
FC Westerlo,FC Zulte Waregem,2,0,46%,54%,10,12,0,4,5,12,3,3,403,440,8,9,330 (81%),372 (84%),2 (13%),4 (13%),44 (59%),47 (68%),18,20,12,12,28,13,3,2,2
Oud-Heverlee Leuven,St. Gilloise,0,3,58%,42%,11,2,2,6,8,2,4,2,505,368,6,10,433 (85%),304 (82%),3 (17%),3 (23%),48 (57%),36 (67%),30,20,3,11,12,12,3,2,-3
Estándar (Lieja),RFC Seraing,0,2,69%,31%,13,10,3,2,9,4,2,1,612,278,11,8,522 (85%),184 (66%),3 (13%),3 (30%),26 (56%),31 (32%),23,22,11,14,5,17,1,3,-2
Estándar (Lieja),Club Brujas,3,0,37%,63%,10,0,2,1,8,4,0,2,323,554,8,9,253 (78%),481 (86%),2 (20%),6 (22%),24 (36%),58 (75%),16,12,10,11,17,6,1,3,3
FC Eypen,St. Gilloise,1,2,46%,54%,13,3,2,5,5,2,2,1,409,498,5,9,319 (78%),405 (81%),2 (12%),3 (25%),43 (50%),39 (54%),21,12,11,8,13,15,1,3,-1
FC Genk,Gent,1,0,50%,50%,10,2,5,5,5,2,1,2,464,476,9,6,365 (78%),389 (81%),6 (37%),4 (33%),42 (53%),49 (54%),27,23,14,16,10,16,0,5,1
FC Charleroi,FC Westerlo,2,3,65%,35%,14,4,2,1,0,1,2,737,737,404,11,7,639 (86%),326 (80%),2 (12%),2 (40%),46 (56%),46 (54%),12,11,10,20,2,15,0,2,-1
FC Zulte Waregem,Sint-Truidense,0,3,50%,50%,18,0,3,0,1,0,4,3,456,476,3,15,360 (78%),407 (85%),1 (10%),5 (26%),38 (38%),60 (56%),25,19,7,14,16,8,5,2,-3
Cercle Brugge (Brujas),KV Oostende,2,2,46%,54%,19,16,10,3,2,0,1,10,294,325,10,12,165 (56%),196 (60%),5 (26%),5 (22%),39 (34%),35 (39%),25,19,11,11,13,22,4,5,0
FC Malinas,Oud-Heverlee Leuven,0,0,39%,61%,12,10,6,2,10,1,5,4,329,518,9,9,249 (75%),437 (84%),3 (23%),2 (22%),31 (40%),45 (55%),12,6,13,7,17,20,1,2,0
Royal Antwerp,RFC Seraing,2,1,69%,31%,12,10,5,3,5,3,2,2,651,284,8,6,559 (85%),194 (68%),3 (23%),6 (42%),39 (52%),30 (41%),14,11,7,10,8,17,1,1,1
St. Gilloise,FC Genk,1,2,57%,43%,10,14,3,5,4,5,2,2,548,412,7,12,448 (81%),322 (78%),3 (21%),7 (63%),37 (52%),29 (39%),18,14,18,17,10,18,2,3,-1
Cercle Brugge (Brujas),Royal Antwerp,0,2,45%,55%,13,11,1,2,3,3,1,2,326,394,11,10,199 (61%),274 (69%),4 (25%),6 (60%),30 (34%),46 (43%),11,6,6,10,6,30,2,6,-2
FC Westerlo,Anderlecht (Bryuscel),2,1,45%,55%,13,12,3,5,1,6,3,0,388,468,12,12,302 (77%),391 (83%),2 (16%),3 (15%),61 (61%),20 (44%),21,9,6,7,12,13,2,4,1
Oud-Heverlee Leuven,FC Charleroi,3,2,45%,55%,11,4,1,0,1,3,1,5,386,483,8,5,317 (82%),403 (83%),3 (37%),0 (0%),36 (53%),43 (62%),12,17,11,5,13,15,3,1,1
RFC Seraing,Club Brujas,0,2,24%,76%,11,1,3,2,1,6,0,4,238,786,4,9,156 (65%),684 (87%),1 (12%),1 (10%),17 (26%),50 (57%),17,25,16,8,12,7,2,1,-2
KV Oostende,FC Eypen,1,0,38%,62%,10,13,1,5,3,6,2,2,292,485,6,10,187 (64%),397 (81%),4 (30%),3 (13%),40 (42%),55 (61%),20,25,12,8,25,23,2,4,1
FC Kortrijk,FC Malinas,1,4,50%,50%,12,10,4,2,1,0,10,3,369,386,11,8,292 (79%),304 (78%),2 (8%),3 (30%),44 (51%),34 (40%),7,23,11,10,22,19,1,2,-3
Sint-Truidense,Estándar (Lieja),1,2,58%,42%,22,11,11,6,3,1,0,7,509,393,16,8,420 (82%),301 (76%),11 (36%),1 (20%),42 (51%),22 (34%),23,14,9,14,5,19,1,4,-1
FC Charleroi,Gent,2,1,56%,44%,14,2,1,4,4,2,0,2,604,459,12,5,509 (84%),357 (77%),2 (14%),5 (35%),50 (52%),36 (43%),10,17,16,12,7,15,0,5,1
