HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Real Sociedad,València CF,1,1,27%,73%,14,2,4,1,11,2,2,2,227,603,7,14,148 (65%),518 (85%),3 (37%),7 (22%),38 (48%),36 (52%),8,14,6,2,28,14,2,3,0
Atlético Madrid,Royal Espanyol,1,1,67%,33%,27,11,1,12,2,4,0,3,540,269,20,5,476 (88%),191 (71%),7 (19%),3 (33%),33 (63%),34 (40%),20,18,7,9,5,36,1,7,0
FC Barcelona,UD Almería,2,0,70%,30%,27,13,6,2,9,1,6,1,713,310,21,2,643 (90%),222 (71%),11 (42%),0 (0%),49 (87%),21 (29%),15,13,3,12,6,22,1,10,2
Celta de Vigo,CA Osasuna,1,2,62%,38%,13,1,1,2,3,0,1,1,538,330,9,6,458 (85%),254 (76%),2 (11%),4 (25%),21 (42%),41 (43%),20,8,9,6,13,26,2,4,-1
Real Valladolid,Elche,2,1,51%,49%,16,11,0,2,8,4,2,0,407,407,13,3,344 (84%),336 (82%),7 (26%),3 (21%),26 (57%),33 (53%),15,12,13,4,14,23,1,9,1
Getafe CF,Cádiz CF,0,0,53%,47%,13,15,5,4,5,5,1,2,424,386,8,9,342 (80%),288 (74%),9 (30%),4 (25%),38 (52%),37 (36%),15,12,4,3,19,20,4,1,0
Girona FC,Athletic Bilbao,2,1,42%,58%,19,11,10,4,1,7,1,3,362,517,14,8,291 (80%),431 (83%),6 (27%),6 (27%),31 (45%),22 (36%),18,18,8,3,22,18,6,8,1
Real Sociedad,Real Betis Balompié,0,2,58%,42%,14,10,2,3,5,3,2,2,418,305,10,9,346 (82%),231 (75%),6 (37%),1 (14%),26 (56%),18 (31%),18,13,9,9,7,22,2,7,-2
Athletic Bilbao,Villarreal CF,1,0,43%,57%,19,5,2,6,2,2,0,2,371,523,12,5,294 (79%),441 (84%),4 (14%),2 (20%),25 (48%),33 (49%),21,10,11,9,7,28,3,6,1
Real Madrid,Girona FC,1,1,57%,43%,19,7,0,0,1,7,1,2,643,460,15,6,588 (91%),407 (88%),2 (12%),3 (27%),27 (67%),22 (44%),15,10,4,7,8,12,1,5,0
CA Osasuna,Real Valladolid,2,0,48%,52%,20,10,4,1,1,0,1,8,390,422,15,4,318 (81%),345 (81%),8 (34%),3 (13%),40 (54%),29 (40%),12,15,16,10,18,23,2,8,2
València CF,FC Barcelona,0,1,33%,67%,13,0,4,3,10,1,3,4,275,572,3,13,211 (76%),496 (86%),2 (15%),6 (28%),23 (46%),37 (57%),24,12,13,8,23,5,1,2,-1
Sevilla FC,Rayo Vallecano,0,1,62%,38%,10,15,2,6,6,6,3,0,505,305,6,13,415 (82%),220 (72%),5 (17%),2 (16%),34 (53%),26 (34%),12,23,13,5,9,27,4,5,-1
Cádiz CF,Atlético Madrid,3,2,41%,59%,10,16,0,2,5,3,2,4,344,495,10,12,279 (81%),433 (87%),2 (12%),7 (28%),34 (46%),26 (52%),12,17,3,6,20,13,6,4,1
UD Almería,Celta de Vigo,3,1,62%,38%,19,6,2,6,4,0,5,4,509,313,14,7,446 (87%),247 (78%),13 (41%),2 (14%),36 (58%),17 (28%),17,15,8,4,12,22,2,2,2
RCD Mallorca,Royal Espanyol,1,1,52%,48%,13,1,1,4,4,4,1,1,450,421,11,5,370 (82%),336 (79%),5 (20%),0 (0%),46 (56%),21 (33%),10,20,8,11,20,29,1,4,0
FC Barcelona,Athletic Bilbao,4,0,66%,34%,10,0,1,1,2,4,1,2,669,343,10,3,598 (89%),273 (79%),2 (28%),1 (10%),41 (66%),23 (39%),13,12,6,11,12,9,1,3,4
Girona FC,CA Osasuna,1,1,50%,50%,3,1,3,5,3,3,2,3,468,474,5,7,383 (81%),398 (83%),3 (15%),8 (36%),18 (36%),37 (45%),13,15,4,8,18,22,1,0,0
Villarreal CF,UD Almería,2,1,52%,48%,11,15,5,5,10,4,3,3,441,412,10,10,367 (83%),337 (81%),4 (13%),4 (18%),31 (57%),23 (31%),16,16,10,10,17,21,3,3,1
Real Betis Balompié,Atlético Madrid,1,2,55%,45%,17,4,3,7,4,2,0,2,560,463,12,4,474 (84%),385 (83%),5 (31%),0 (0%),25 (53%),26 (44%),16,26,12,12,17,13,1,3,-1
