HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Ascoli,Génova (Genova),0,0,42%,58%,3,2,1,1,0,3,1,3,285,449,6,6,192 (67%),337 (75%),7 (36%),3 (21%),32 (37%),24 (32%),19,11,12,5,15,10,3,1,0
SPAL (Ferrara),FC Palermo,1,1,56%,44%,14,11,6,4,4,3,4,2,519,334,10,7,432 (83%),263 (78%),3 (16%),5 (20%),23 (40%),14 (31%),9,13,9,8,16,19,2,3,0
FC Benevento,FC Cittadella,1,0,46%,54%,15,6,6,1,2,3,4,317,317,430,4,12,189 (59%),319 (74%),5 (27%),8 (26%),22 (20%),31 (37%),10,9,10,10,30,12,7,2,1
Sudtirol,FC Ternana,0,0,48%,52%,15,12,5,6,7,5,1,1,319,551,8,8,233 (73%),464 (84%),8 (27%),6 (21%),41 (46%),41 (53%),12,11,16,9,16,25,4,5,0
FC Cagliari,FC Perugia,3,2,58%,42%,20,12,5,4,0,1,8,3,392,257,15,5,299 (76%),174 (67%),8 (29%),3 (13%),54 (52%),43 (48%),15,15,3,11,24,20,2,4,1
FC Pisa,Ascoli,2,0,48%,52%,4,2,1,0,5,4,4,1,372,395,3,6,270 (72%),281 (71%),5 (25%),4 (16%),44 (44%),52 (52%),19,15,1,11,22,10,3,0,2
FC Cittadella,FC Bari,0,3,66%,34%,18,10,6,2,7,3,0,3,480,254,11,7,368 (76%),146 (57%),8 (19%),4 (44%),41 (48%),23 (28%),26,24,14,15,10,39,4,5,-3
FC Cosenza,FC Brescia,1,1,43%,57%,10,20,2,6,3,8,3,4,295,375,8,14,205 (69%),275 (73%),3 (27%),4 (16%),29 (32%),47 (41%),14,16,8,5,26,12,6,2,0
Modena FC,Unione Venezia,2,2,36%,64%,11,17,3,8,1,0,4,3,326,581,8,13,232 (71%),500 (86%),5 (35%),8 (29%),11 (18%),44 (68%),12,11,10,7,31,9,2,1,0
Génova (Genova),Sudtirol,2,0,67%,33%,14,4,0,5,1,0,2,4,635,311,13,5,538 (84%),216 (69%),2 (9%),2 (20%),33 (50%),33 (40%),19,28,5,15,8,26,2,2,2
Regina (Reggio Calabria),Frosinone,0,3,52%,48%,10,14,4,4,6,6,1,0,415,385,8,9,325 (78%),283 (73%),4 (17%),4 (25%),35 (48%),32 (31%),9,11,6,10,15,18,4,0,-3
FC Perugia,SPAL (Ferrara),0,0,34%,66%,12,10,3,4,6,4,2,0,250,487,6,7,148 (59%),400 (82%),4 (33%),4 (14%),21 (31%),25 (40%),25,18,10,12,24,23,4,2,0
FC Parma,FC Benevento,0,1,60%,40%,20,8,1,13,0,2,5,3,478,348,10,6,384 (80%),240 (68%),2 (5%),0 (0%),32 (41%),24 (30%),13,33,8,16,3,36,3,5,-1
FC Ternana,FC Cagliari,1,0,36%,64%,31,12,0,13,1,0,2,12,310,507,4,27,223 (71%),432 (85%),2 (22%),14 (29%),30 (40%),65 (67%),14,14,8,10,46,3,6,2,1
FC Cosenza,FC Perugia,0,0,54%,46%,13,14,5,2,3,4,1,2,441,291,7,10,339 (76%),179 (61%),5 (21%),6 (25%),47 (48%),46 (38%),5,18,10,12,18,23,3,3,0
FC Brescia,Regina (Reggio Calabria),0,2,51%,49%,16,3,4,4,5,3,2,410,410,410,4,12,301 (73%),311 (75%),3 (18%),4 (21%),43 (51%),33 (40%),19,9,4,7,17,25,5,4,-2
Ascoli,FC Como.,3,3,57%,43%,16,11,5,3,6,3,2,2,353,296,8,9,262 (74%),197 (66%),3 (17%),6 (42%),52 (55%),24 (30%),16,24,9,9,14,20,0,4,0
Sudtirol,Frosinone,1,1,32%,68%,20,11,0,5,1,9,2,0,242,636,4,15,150 (61%),554 (87%),3 (33%),9 (23%),38 (38%),42 (64%),13,10,17,5,27,3,2,1,0
Génova (Genova),FC Cittadella,0,1,63%,37%,14,4,0,11,1,1,5,3,560,262,10,3,421 (75%),147 (56%),7 (22%),0 (0%),46 (54%),26 (26%),18,23,7,15,13,37,0,5,-1
FC Bari,FC Pisa,0,0,55%,45%,15,11,5,4,8,7,2,2,457,354,9,7,365 (79%),266 (75%),6 (25%),5 (23%),39 (53%),39 (48%),16,19,4,15,18,24,4,3,0
SPAL (Ferrara),Modena FC,2,3,58%,42%,20,12,3,4,0,1,2,1,513,252,17,9,453 (88%),181 (71%),15 (48%),3 (23%),30 (60%),16 (23%),16,14,8,7,7,17,2,6,-1
FC Cagliari,FC Parma,1,1,43%,57%,11,17,0,6,5,7,3,3,380,519,7,14,301 (79%),441 (84%),7 (31%),5 (20%),54 (62%),31 (41%),14,8,8,6,25,15,3,5,0
Unione Venezia,FC Ternana,2,1,46%,54%,13,17,4,2,0,1,3,6,436,503,10,10,341 (78%),394 (78%),3 (25%),5 (16%),32 (41%),20 (32%),12,16,11,11,28,9,7,3,1
FC Como.,FC Bari,1,1,47%,53%,14,2,3,1,1,5,3,3,358,413,9,5,272 (75%),330 (79%),3 (15%),2 (25%),30 (43%),38 (50%),25,8,7,9,18,13,1,4,0
FC Cittadella,FC Cosenza,1,1,55%,45%,18,12,2,0,6,3,4,2,327,324,13,4,210 (64%),194 (59%),7 (29%),2 (22%),40 (36%),35 (30%),21,8,10,7,17,23,2,3,0
FC Brescia,SPAL (Ferrara),2,0,38%,62%,11,12,1,1,3,6,1,1,269,619,6,11,191 (71%),537 (86%),3 (33%),6 (20%),29 (40%),42 (67%),19,19,9,8,26,12,5,4,2
