HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Racing Estrasburgo,E. S. Troyes A. C.,2,3,56%,44%,17,1,3,3,1,3,2,1,541,443,13,6,439 (81%),324 (73%),8 (38%),1 (50%),47 (60%),34 (35%),11,15,10,13,5,32,2,5,-1
R. C. Lens,Paris Saint-Germain,3,1,41%,59%,10,16,2,4,3,7,3,0,400,577,6,12,325 (81%),511 (88%),2 (33%),3 (15%),27 (38%),21 (75%),21,13,11,6,23,11,5,1,2
Olympique de Lyon,Clermont,0,1,60%,40%,13,13,2,7,0,1,7,4,543,358,10,7,468 (86%),272 (75%),5 (38%),1 (14%),42 (75%),31 (44%),21,26,11,14,13,10,3,2,-1
Angers S. C. O.,F. C. Lorient,1,2,41%,59%,15,10,2,3,7,7,3,0,339,491,11,9,271 (79%),408 (83%),10 (52%),3 (20%),35 (45%),16 (30%),18,27,6,9,20,13,4,5,-1
A. S. Monaco,Stade Brestois,1,0,52%,48%,17,13,4,3,7,5,1,2,434,411,15,10,356 (82%),315 (76%),4 (23%),8 (44%),42 (64%),29 (42%),27,20,9,16,17,15,6,4,1
F.C.Nantes,AJ Auxerre,1,0,51%,49%,10,14,4,2,3,7,1,0,412,398,5,9,319 (77%),304 (76%),2 (14%),7 (33%),29 (39%),40 (49%),17,10,8,15,23,17,6,2,1
Toulouse FC,AC Ajaccio,2,0,63%,37%,11,3,0,5,2,3,1,3,569,339,9,1,463 (81%),234 (69%),5 (26%),2 (18%),39 (46%),30 (26%),12,12,11,18,8,16,0,2,2
O. G. C. Nice,R. C. Lens,0,0,41%,59%,10,3,3,4,6,2,3,2,400,577,9,6,335 (83%),522 (90%),1 (11%),2 (12%),30 (56%),21 (58%),14,18,7,4,8,10,2,5,0
Stade de Reims,Stade Rennais F. C.,3,1,33%,67%,10,11,2,4,4,6,5,3,287,598,9,8,203 (70%),504 (84%),1 (7%),7 (35%),28 (41%),39 (50%),20,13,10,10,13,14,4,1,2
F. C. Lorient,Montpellier Hérault S. C.,0,2,48%,52%,12,14,1,5,5,2,0,2,443,498,9,9,364 (82%),386 (77%),5 (23%),2 (15%),14 (29%),20 (23%),19,13,15,4,8,15,4,4,-2
Stade Brestois,Olympique de Lyon,2,4,43%,57%,17,17,5,7,0,1,6,6,343,475,10,15,264 (76%),404 (85%),7 (25%),6 (37%),16 (34%),37 (52%),16,18,9,15,19,19,5,3,-2
Paris Saint-Germain,Racing Estrasburgo,2,1,71%,29%,10,12,3,2,1,0,8,3,765,309,9,9,690 (90%),249 (80%),3 (18%),3 (27%),34 (65%),27 (48%),19,35,3,17,7,24,3,4,1
Clermont,Lille O. S. C.,0,2,43%,57%,14,3,5,0,1,3,3,3,372,519,8,8,287 (77%),429 (82%),4 (28%),1 (16%),28 (45%),19 (33%),18,27,15,10,10,18,1,3,-2
AJ Auxerre,A. S. Monaco,2,3,38%,62%,11,1,1,1,1,1,4,3,342,561,5,3,264 (77%),458 (81%),1 (8%),1 (5%),34 (41%),40 (60%),21,13,14,5,16,14,0,5,-1
AC Ajaccio,Angers S. C. O.,1,0,46%,54%,11,14,3,2,1,0,3,5,371,431,8,11,290 (78%),348 (80%),3 (23%),5 (21%),39 (40%),27 (39%),11,21,6,6,18,14,5,2,1
E. S. Troyes A. C.,F.C.Nantes,0,0,55%,45%,19,4,5,4,5,0,2,575,575,447,5,15,484 (84%),376 (84%),0 (0%),9 (30%),22 (37%),35 (54%),15,20,7,15,22,23,5,2,0
Racing Estrasburgo,F. C. Lorient,1,1,61%,39%,20,10,6,2,4,2,2,1,609,405,13,3,517 (84%),307 (75%),9 (22%),1 (20%),45 (66%),24 (40%),16,15,10,7,9,42,1,3,0
Stade Brestois,E. S. Troyes A. C.,2,1,54%,46%,15,1,1,2,0,5,5,2,429,372,9,7,355 (82%),294 (79%),5 (23%),6 (40%),23 (40%),25 (29%),17,18,11,10,10,18,2,3,1
Lille O. S. C.,Angers S. C. O.,1,0,59%,41%,4,2,2,6,2,1,3,1,568,391,8,7,492 (86%),309 (79%),2 (25%),4 (23%),32 (48%),32 (53%),24,21,3,13,15,7,2,3,1
Montpellier Hérault S. C.,Stade de Reims,1,1,49%,51%,16,17,3,8,11,7,1,2,345,378,11,13,243 (70%),272 (71%),8 (21%),4 (21%),35 (44%),25 (33%),20,20,14,22,18,32,3,7,0
F.C.Nantes,AC Ajaccio,2,2,53%,47%,15,13,5,3,0,1,9,6,385,337,10,8,303 (78%),249 (73%),5 (22%),6 (26%),27 (34%),34 (32%),16,13,4,6,17,22,2,3,0
Paris Saint-Germain,AJ Auxerre,5,0,59%,41%,10,1,3,3,7,3,0,650,650,446,7,10,581 (89%),372 (83%),3 (33%),3 (23%),32 (72%),39 (57%),12,23,5,11,10,7,3,1,5
Stade Rennais F. C.,Toulouse FC,2,1,47%,53%,16,10,2,3,4,4,2,4,429,486,13,10,346 (80%),392 (80%),3 (25%),4 (21%),28 (36%),35 (47%),10,16,14,6,16,12,3,6,1
R. C. Lens,Clermont,2,1,61%,39%,16,8,1,5,3,2,3,1,508,330,14,5,445 (87%),242 (73%),10 (29%),2 (22%),16 (39%),28 (39%),9,12,11,10,2,15,2,1,1
Olympique de Lyon,O. G. C. Nice,1,1,63%,37%,13,3,4,1,1,3,4,0,647,384,5,9,564 (87%),306 (79%),3 (14%),4 (40%),41 (59%),31 (46%),24,26,9,15,4,20,2,2,0
Lille O. S. C.,Stade Rennais F. C.,1,1,62%,38%,19,6,0,0,1,6,2,1,579,358,14,1,497 (85%),266 (74%),3 (20%),1 (16%),33 (48%),21 (29%),21,23,7,5,4,21,1,6,0
Clermont,Montpellier Hérault S. C.,1,1,54%,46%,16,3,1,0,1,5,1,1,399,354,10,4,296 (74%),255 (72%),9 (33%),1 (8%),31 (44%),33 (37%),28,19,10,15,11,17,2,6,0
O. G. C. Nice,Stade Brestois,1,0,56%,44%,14,12,2,5,2,6,5,2,577,436,11,9,512 (88%),362 (83%),3 (21%),4 (20%),31 (55%),47 (59%),21,14,11,14,23,10,2,8,1
Stade de Reims,F.C.Nantes,1,0,57%,43%,22,15,5,8,1,0,10,4,481,367,14,8,390 (81%),265 (72%),4 (14%),2 (13%),38 (46%),37 (43%),24,25,14,20,18,23,4,8,1
Toulouse FC,A. S. Monaco,0,2,49%,51%,13,24,10,3,6,7,6,2,397,422,8,20,291 (73%),330 (78%),5 (29%),6 (30%),27 (46%),27 (41%),13,19,16,21,16,12,8,5,-2
F. C. Lorient,Paris Saint-Germain,1,2,41%,59%,15,2,4,5,8,1,1,404,404,585,8,12,342 (84%),532 (90%),2 (12%),6 (25%),15 (35%),33 (70%),22,19,7,10,20,14,5,1,-1
Angers S. C. O.,R. C. Lens,1,2,44%,56%,12,0,3,3,4,0,2,1,444,561,4,10,366 (82%),484 (86%),3 (42%),7 (36%),15 (30%),32 (52%),19,15,2,7,11,6,2,2,-1
AC Ajaccio,Racing Estrasburgo,4,2,49%,51%,12,2,1,2,0,4,3,1,372,380,7,7,295 (79%),299 (78%),6 (35%),6 (30%),36 (48%),38 (52%),10,10,9,11,20,11,3,3,2
E. S. Troyes A. C.,AJ Auxerre,1,1,50%,50%,21,13,7,3,10,5,0,2,484,481,13,11,411 (84%),419 (87%),7 (25%),9 (36%),21 (45%),39 (69%),13,14,7,11,16,29,1,4,0
F. C. Lorient,O. G. C. Nice,1,2,44%,56%,14,16,2,3,8,3,2,1,477,620,12,12,413 (86%),565 (91%),4 (30%),4 (26%),26 (53%),30 (56%),18,26,5,15,12,16,3,6,-1
Stade Brestois,Stade de Reims,0,0,51%,49%,12,11,3,1,5,5,5,2,415,392,12,11,316 (76%),297 (75%),7 (43%),3 (16%),49 (44%),41 (41%),22,25,13,10,15,12,3,4,0
A. S. Monaco,Angers S. C. O.,2,0,52%,48%,1,0,7,0,1,2,3,3,487,462,7,6,400 (82%),385 (83%),4 (14%),3 (50%),30 (51%),30 (46%),21,13,11,5,4,18,3,3,2
F.C.Nantes,Clermont,1,1,56%,44%,13,10,3,0,2,2,0,1,518,439,10,6,425 (82%),341 (77%),7 (22%),1 (7%),34 (54%),42 (42%),15,18,8,15,13,19,5,3,0
Stade Rennais F. C.,Montpellier Hérault S. C.,3,0,56%,44%,14,4,1,3,4,0,5,1,524,409,11,5,440 (83%),327 (79%),4 (23%),6 (31%),47 (61%),22 (37%),10,20,12,11,16,15,3,1,3
AJ Auxerre,AC Ajaccio,1,0,42%,58%,18,4,2,5,5,0,3,1,344,482,10,5,274 (79%),400 (82%),2 (18%),4 (18%),42 (57%),31 (46%),16,15,13,10,34,16,1,4,1
Racing Estrasburgo,Olympique de Marsella,2,2,50%,50%,12,13,2,3,3,0,0,2,471,476,7,9,376 (79%),390 (81%),5 (25%),0 (0%),23 (45%),28 (41%),14,14,13,14,11,14,2,3,0
Paris Saint-Germain,E. S. Troyes A. C.,4,3,67%,33%,19,16,11,5,5,1,0,8,689,324,16,13,627 (91%),271 (83%),2 (20%),5 (41%),19 (67%),19 (44%),25,21,9,12,7,17,2,7,1
R. C. Lens,Toulouse FC,3,0,53%,47%,13,0,5,6,8,2,1,430,430,378,11,7,354 (82%),289 (76%),4 (25%),5 (25%),21 (40%),23 (31%),6,11,8,10,16,12,0,5,3
O. G. C. Nice,F.C.Nantes,1,1,66%,34%,11,11,2,2,1,0,7,3,604,300,8,10,518 (85%),229 (76%),5 (21%),9 (50%),36 (50%),27 (37%),20,31,4,14,12,25,3,4,0
Clermont,Stade Brestois,1,3,63%,37%,14,19,11,3,3,0,1,7,583,352,13,11,497 (85%),271 (76%),6 (20%),3 (21%),23 (38%),44 (50%),15,18,11,21,13,16,8,3,-2
Stade de Reims,AJ Auxerre,2,1,55%,45%,19,10,10,3,2,8,2,4,409,352,15,9,334 (81%),268 (76%),4 (14%),8 (50%),23 (47%),37 (45%),22,28,14,25,12,21,1,8,1
Toulouse FC,Racing Estrasburgo,2,2,48%,52%,17,11,5,2,6,6,4,0,418,450,13,7,334 (79%),355 (78%),7 (43%),7 (35%),40 (57%),30 (35%),9,10,6,7,27,24,3,4,0
E. S. Troyes A. C.,F. C. Lorient,2,2,43%,57%,13,20,10,1,5,3,6,2,390,538,11,17,337 (86%),474 (88%),5 (25%),2 (11%),24 (51%),26 (61%),18,21,11,12,16,14,3,3,0
Angers S. C. O.,Stade Rennais F. C.,1,2,30%,70%,14,2,4,0,1,5,6,0,276,670,5,9,201 (72%),595 (88%),4 (25%),5 (31%),21 (32%),34 (73%),12,12,14,6,12,13,3,1,-1
Olympique de Marsella,R. C. Lens,0,1,56%,44%,13,12,6,3,7,3,2,2,497,391,11,11,415 (83%),315 (80%),1 (5%),2 (18%),29 (47%),25 (39%),13,15,13,13,9,23,3,3,-1
Montpellier Hérault S. C.,Olympique de Lyon,1,2,38%,62%,10,21,10,1,9,4,7,2,321,532,8,15,242 (75%),460 (86%),3 (30%),7 (30%),21 (36%),32 (62%),15,17,7,8,19,14,8,3,-1
AC Ajaccio,Paris Saint-Germain,0,3,38%,62%,11,4,0,3,8,0,7,0,344,670,6,10,276 (80%),607 (90%),4 (18%),3 (27%),27 (50%),27 (64%),32,21,5,2,12,8,3,1,-3
A. S. Monaco,Clermont,1,1,34%,66%,21,1,5,3,4,1,2,3,316,600,3,14,231 (73%),540 (90%),2 (25%),3 (18%),36 (46%),27 (51%),17,14,8,10,14,9,5,3,0
AJ Auxerre,O. G. C. Nice,1,1,45%,55%,11,2,1,2,6,2,2,434,434,538,8,4,348 (80%),449 (83%),4 (21%),4 (18%),42 (48%),34 (52%),18,12,9,17,12,15,1,2,0
F.C.Nantes,Stade Brestois,4,1,54%,46%,17,11,5,2,1,0,7,5,427,364,6,11,357 (83%),287 (78%),5 (26%),7 (36%),42 (61%),23 (43%),20,18,11,10,13,26,2,2,3
Stade Rennais F. C.,Olympique de Lyon,3,2,40%,60%,14,2,0,3,2,1,3,2,392,585,13,3,307 (78%),491 (83%),4 (40%),1 (7%),30 (42%),24 (42%),18,14,14,19,19,9,3,2,1
E. S. Troyes A. C.,AC Ajaccio,1,1,50%,50%,15,4,2,3,5,6,3,2,400,394,8,7,308 (77%),318 (80%),2 (12%),6 (27%),38 (48%),30 (44%),13,24,7,14,15,24,6,1,0
Toulouse FC,Angers S. C. O.,3,2,56%,44%,14,13,1,3,1,0,2,9,464,367,12,12,383 (82%),289 (78%),2 (12%),1 (6%),27 (38%),22 (38%),25,18,7,10,14,15,3,3,1
R. C. Lens,Montpellier Hérault S. C.,1,0,66%,34%,17,3,2,4,5,1,2,2,641,324,12,5,555 (86%),218 (67%),4 (17%),3 (20%),43 (63%),14 (18%),9,20,8,13,9,22,1,5,1
F. C. Lorient,Stade de Reims,0,0,48%,52%,10,2,0,2,2,1,2,1,393,419,6,5,316 (80%),336 (80%),4 (20%),4 (22%),26 (46%),19 (38%),30,19,12,14,15,15,2,3,0
Racing Estrasburgo,Lille O. S. C.,0,3,43%,57%,12,10,4,2,0,1,3,0,416,582,9,6,310 (74%),475 (81%),5 (22%),1 (25%),28 (41%),37 (40%),24,12,19,12,10,19,4,1,-3
Stade Rennais F. C.,F.C.Nantes,3,0,58%,42%,14,3,2,4,3,2,3,1,474,338,11,7,375 (79%),240 (71%),4 (33%),3 (17%),44 (46%),35 (45%),18,19,5,5,12,13,3,1,3
Angers S. C. O.,Racing Estrasburgo,2,3,55%,45%,14,15,2,4,6,6,1,3,524,425,10,14,456 (87%),355 (83%),1 (7%),13 (50%),28 (51%),40 (50%),18,22,10,7,11,13,5,6,-1
Stade Brestois,F. C. Lorient,1,2,50%,50%,11,14,2,4,7,8,0,1,437,445,9,12,338 (77%),356 (80%),10 (29%),1 (5%),19 (32%),17 (34%),25,10,10,15,15,25,3,3,-1
Clermont,AJ Auxerre,2,1,48%,52%,10,14,2,3,4,4,5,0,395,431,9,8,313 (79%),366 (84%),4 (21%),2 (11%),39 (42%),58 (65%),17,18,7,12,14,17,3,4,1
O. G. C. Nice,E. S. Troyes A. C.,3,2,61%,39%,14,17,10,3,1,1,0,6,615,375,11,14,542 (88%),313 (83%),6 (40%),6 (25%),28 (58%),26 (47%),23,18,7,11,14,10,4,3,1
Montpellier Hérault S. C.,A. S. Monaco,0,2,50%,50%,11,11,2,1,7,2,1,0,411,413,6,7,324 (78%),329 (79%),5 (20%),1 (6%),29 (40%),37 (59%),23,12,14,11,20,29,5,1,-2
Stade de Reims,Paris Saint-Germain,0,0,36%,64%,24,11,11,9,2,7,3,3,339,613,14,9,284 (83%),542 (88%),5 (31%),2 (33%),26 (65%),28 (63%),14,14,15,8,7,18,3,4,0
Olympique de Marsella,AC Ajaccio,1,2,65%,35%,10,2,2,1,0,11,2,2,547,296,6,2,441 (80%),204 (68%),6 (23%),2 (18%),42 (56%),26 (30%),14,19,16,16,11,19,0,1,-1
Olympique de Lyon,Toulouse FC,1,1,58%,42%,19,5,0,4,5,2,1,2,556,399,17,2,461 (82%),302 (75%),4 (30%),1 (7%),25 (46%),30 (42%),18,14,7,10,13,24,1,7,0
A. S. Monaco,F.C.Nantes,4,1,48%,52%,10,2,1,1,0,7,7,4,476,514,7,6,412 (86%),449 (87%),2 (14%),3 (15%),34 (57%),29 (46%),20,15,12,12,11,16,2,2,3
AC Ajaccio,Clermont,1,3,52%,48%,12,2,3,4,4,0,1,3,439,412,10,7,346 (78%),320 (77%),5 (19%),5 (38%),33 (47%),38 (43%),17,19,9,12,17,24,0,2,-2
AJ Auxerre,Stade Brestois,1,1,49%,51%,11,3,2,1,0,0,6,0,438,453,7,7,375 (85%),383 (84%),5 (35%),5 (21%),42 (60%),32 (45%),16,13,15,11,24,11,1,2,0
Toulouse FC,Montpellier Hérault S. C.,4,2,43%,57%,12,23,0,11,3,12,1,3,342,432,9,14,266 (77%),357 (82%),3 (33%),7 (20%),29 (53%),33 (60%),14,23,12,6,32,5,3,1,2
E. S. Troyes A. C.,Stade de Reims,2,2,67%,33%,19,7,2,10,2,3,0,4,556,276,12,4,496 (89%),198 (71%),11 (23%),4 (50%),23 (60%),16 (21%),18,29,9,9,5,35,0,4,0
F. C. Lorient,Lille O. S. C.,2,1,37%,63%,20,10,1,6,0,14,0,1,326,516,6,15,249 (76%),439 (85%),1 (20%),5 (12%),25 (36%),16 (47%),25,19,7,7,36,5,3,3,1
Paris Saint-Germain,O. G. C. Nice,2,1,57%,43%,12,3,2,4,0,3,2,1,663,485,8,3,599 (90%),430 (88%),2 (25%),2 (16%),21 (61%),25 (55%),20,29,5,11,10,13,0,2,1
Racing Estrasburgo,Stade Rennais F. C.,1,3,39%,61%,17,1,6,1,0,1,6,3,384,603,7,10,305 (79%),526 (87%),4 (36%),6 (31%),24 (38%),37 (52%),11,17,16,9,13,8,4,2,-2
Angers S. C. O.,Olympique de Marsella,0,3,44%,56%,16,15,2,2,6,3,1,0,368,483,12,15,303 (82%),410 (84%),2 (16%),4 (26%),15 (30%),26 (53%),17,17,12,13,12,10,4,5,-3
F.C.Nantes,R. C. Lens,0,0,42%,58%,12,4,3,3,7,1,1,1,416,584,10,6,354 (85%),516 (88%),3 (15%),3 (10%),30 (52%),28 (56%),16,21,8,11,28,15,2,4,0
Stade Brestois,AC Ajaccio,0,1,59%,41%,2,1,6,2,2,0,2,2,501,356,5,5,372 (74%),232 (65%),8 (28%),1 (10%),51 (52%),29 (27%),12,16,10,20,11,25,3,4,-1
Clermont,E. S. Troyes A. C.,1,3,60%,40%,14,6,1,5,1,2,1,0,514,351,8,5,425 (82%),271 (77%),3 (17%),2 (22%),23 (40%),21 (34%),22,11,11,14,11,16,1,1,-2
Olympique de Marsella,Stade Rennais F. C.,1,1,59%,41%,15,11,8,4,11,7,2,1,509,363,13,6,423 (83%),288 (79%),8 (25%),2 (15%),25 (40%),36 (61%),19,22,10,18,20,25,4,3,0
O. G. C. Nice,Angers S. C. O.,0,1,50%,50%,18,16,4,9,5,4,1,1,420,417,11,13,351 (83%),357 (85%),4 (26%),2 (13%),32 (51%),36 (59%),28,9,9,11,14,10,2,5,-1
Stade de Reims,A. S. Monaco,0,3,32%,68%,20,11,1,4,5,4,3,2,256,550,4,18,182 (71%),472 (85%),1 (6%),6 (26%),25 (39%),39 (58%),21,15,11,14,26,10,8,2,-3
Lille O. S. C.,Toulouse FC,2,1,45%,55%,10,14,3,4,5,7,1,5,408,475,7,11,309 (75%),375 (78%),4 (44%),5 (17%),17 (24%),29 (43%),20,18,14,20,23,10,4,2,1
Montpellier Hérault S. C.,Racing Estrasburgo,2,1,50%,50%,10,1,1,1,0,8,6,3,354,351,6,6,265 (74%),267 (76%),4 (18%),4 (19%),39 (43%),36 (42%),18,16,9,8,23,22,1,2,1
AJ Auxerre,F. C. Lorient,1,3,57%,43%,17,12,4,2,9,5,0,1,509,406,11,9,441 (86%),332 (81%),11 (29%),3 (30%),72 (75%),33 (55%),21,17,11,13,16,20,5,4,-2
Stade Rennais F. C.,AJ Auxerre,5,0,48%,52%,12,1,2,2,1,2,3,1,473,499,6,6,382 (80%),407 (81%),1 (16%),4 (28%),27 (41%),50 (53%),19,17,9,11,12,7,3,3,5
AC Ajaccio,O. G. C. Nice,0,1,44%,56%,12,2,2,2,3,3,1,1,380,502,8,10,281 (73%),408 (81%),4 (21%),2 (22%),32 (35%),29 (40%),23,18,5,8,10,15,2,3,-1
Angers S. C. O.,Montpellier Hérault S. C.,2,1,45%,55%,11,3,1,1,0,2,5,2,374,458,4,6,289 (77%),370 (80%),3 (27%),5 (27%),28 (48%),26 (42%),28,18,7,7,17,7,1,3,1
F. C. Lorient,F.C.Nantes,3,2,48%,52%,13,5,0,2,5,1,1,2,451,470,10,7,382 (84%),395 (84%),2 (22%),6 (23%),15 (34%),32 (50%),24,21,9,10,21,9,2,2,1
Toulouse FC,Stade de Reims,1,0,47%,53%,14,11,2,5,4,6,1,0,393,438,11,9,297 (75%),332 (75%),2 (25%),5 (23%),35 (41%),20 (31%),32,14,22,6,29,7,1,2,1
Racing Estrasburgo,Clermont,0,0,43%,57%,12,10,2,1,3,5,1,3,357,475,7,7,257 (71%),381 (80%),5 (38%),1 (5%),18 (33%),50 (53%),22,11,12,13,18,21,4,3,0
Olympique de Marsella,Lille O. S. C.,2,1,53%,47%,14,3,1,4,3,1,1,5,453,402,10,6,364 (80%),311 (77%),2 (18%),2 (18%),35 (50%),29 (47%),17,27,5,6,7,16,2,4,1
Paris Saint-Germain,Stade Brestois,1,0,61%,39%,13,4,0,3,5,3,1,4,671,425,11,5,599 (89%),352 (82%),2 (33%),4 (26%),19 (61%),31 (49%),15,21,11,20,14,17,3,3,1
R. C. Lens,E. S. Troyes A. C.,1,0,63%,37%,12,3,2,9,1,1,0,2,663,394,9,5,610 (92%),319 (80%),4 (14%),0 (0%),27 (64%),17 (36%),18,25,12,17,12,29,2,2,1
E. S. Troyes A. C.,Stade Rennais F. C.,1,1,29%,71%,19,2,5,3,5,1,3,2,255,620,6,15,181 (70%),561 (90%),3 (37%),13 (46%),18 (24%),33 (66%),17,14,9,4,16,4,5,0,0
