HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Monza,Salernitana,3,0,57%,43%,19,8,1,1,0,6,1,4,565,416,16,4,505 (89%),352 (84%),6 (40%),3 (18%),36 (62%),32 (59%),12,14,11,6,17,14,0,4,3
A. S. Roma,Torino F. C.,1,1,48%,52%,13,10,4,4,8,1,0,1,440,494,11,9,336 (76%),395 (79%),5 (25%),3 (37%),36 (42%),18 (22%),14,15,15,12,12,20,1,3,0
Atalanta B. C.,Inter de Milán,2,3,46%,54%,18,14,5,3,1,0,5,4,401,464,13,9,310 (77%),383 (82%),7 (38%),7 (26%),33 (40%),34 (37%),15,18,8,4,16,18,1,5,-1
Bologna FC 1909,US Sassuolo Calcio,3,0,52%,48%,3,2,4,6,2,1,1,0,495,456,5,7,415 (83%),381 (83%),3 (25%),2 (10%),30 (44%),38 (47%),19,8,11,9,24,12,3,1,3
U. C. Sampdoria,U.S. Lecce,0,2,57%,43%,11,11,5,3,9,0,6,5,395,309,9,7,263 (66%),183 (59%),4 (14%),1 (10%),36 (39%),23 (21%),12,15,8,14,8,26,1,2,-2
S. S. C. Napoli,Udinese Calcio,3,2,61%,39%,15,10,5,4,5,3,0,1,643,367,11,6,552 (85%),295 (80%),5 (33%),4 (28%),20 (33%),22 (43%),22,14,8,8,17,19,2,2,1
Empoli F. C.,Cremonese,2,0,50%,50%,13,20,3,9,4,9,1,1,437,419,9,14,349 (79%),334 (79%),3 (30%),10 (27%),23 (34%),18 (34%),22,18,9,11,38,13,5,4,2
Hellas Verona F. C.,Juventus de Turín,0,1,43%,57%,15,11,10,3,0,5,4,1,321,437,11,10,247 (76%),353 (80%),9 (34%),6 (31%),24 (43%),31 (41%),16,18,7,10,13,23,2,2,-1
ACF Fiorentina,Salernitana,2,1,58%,42%,18,2,2,4,3,4,3,0,563,396,14,4,483 (85%),300 (75%),2 (15%),4 (30%),39 (62%),26 (29%),15,17,5,10,7,17,0,5,1
Torino F. C.,U. C. Sampdoria,2,0,51%,49%,11,3,5,4,3,4,4,1,439,403,5,8,339 (77%),310 (76%),2 (18%),5 (21%),26 (30%),34 (46%),15,17,12,12,21,14,1,3,2
Inter de Milán,Bologna FC 1909,6,1,57%,43%,13,10,4,1,1,0,4,4,539,395,9,7,468 (86%),317 (80%),5 (33%),1 (7%),29 (53%),27 (38%),8,5,5,11,15,13,3,1,5
US Sassuolo Calcio,A. S. Roma,1,1,46%,54%,15,11,2,2,3,2,0,6,404,469,14,10,335 (82%),406 (86%),3 (25%),5 (29%),39 (50%),35 (57%),18,31,5,11,13,5,3,6,0
U.S. Lecce,Atalanta B. C.,2,1,39%,61%,15,12,6,6,4,3,1,2,325,516,12,11,211 (64%),393 (76%),7 (41%),4 (23%),21 (21%),19 (28%),23,21,12,13,26,14,3,1,1
Cremonese,AC Milan,0,0,27%,73%,16,3,4,2,4,2,2,4,231,633,6,10,146 (63%),545 (86%),3 (30%),5 (20%),21 (26%),45 (73%),22,16,5,9,30,13,5,1,0
S. S. C. Napoli,Empoli F. C.,2,0,75%,25%,18,6,1,1,0,5,0,0,684,236,14,6,610 (89%),161 (68%),8 (22%),1 (50%),39 (62%),14 (21%),10,16,6,7,2,29,1,2,2
Spezia Calcio,Udinese Calcio,1,1,49%,51%,21,10,8,2,9,1,1,4,413,436,12,8,311 (75%),353 (80%),6 (24%),2 (22%),25 (35%),26 (45%),25,13,5,7,16,35,1,5,0
A. S. Roma,S.S. Lazio,0,1,59%,41%,2,2,4,2,3,2,2,3,554,395,6,4,461 (83%),303 (76%),4 (16%),1 (20%),43 (51%),36 (37%),22,21,9,6,6,26,2,2,-1
Monza,Hellas Verona F. C.,2,0,76%,24%,14,3,1,5,2,1,3,3,639,199,11,3,552 (86%),118 (59%),4 (19%),3 (27%),35 (51%),16 (22%),23,8,3,15,11,23,2,1,2
U. C. Sampdoria,ACF Fiorentina,0,2,48%,52%,14,6,0,4,4,2,2,1,419,449,10,5,325 (77%),351 (78%),8 (38%),5 (38%),29 (38%),31 (31%),12,18,8,9,12,17,1,2,-2
Bologna FC 1909,Torino F. C.,2,1,56%,44%,0,2,0,1,3,1,1,5,503,396,9,6,384 (76%),296 (74%),2 (16%),1 (12%),25 (33%),35 (37%),14,13,7,11,9,14,1,3,1
AC Milan,Spezia Calcio,2,1,59%,41%,23,13,11,8,3,3,6,4,428,300,15,11,330 (77%),194 (64%),6 (31%),6 (50%),33 (44%),13 (20%),21,20,6,10,18,25,4,8,1
Atalanta B. C.,S. S. C. Napoli,1,2,46%,54%,16,8,0,1,0,5,2,2,457,539,11,7,362 (79%),443 (82%),5 (31%),2 (22%),28 (37%),29 (38%),22,12,11,4,5,17,3,3,-1
Empoli F. C.,US Sassuolo Calcio,1,0,47%,53%,17,10,7,3,3,6,4,0,419,462,15,6,346 (82%),390 (84%),4 (28%),5 (19%),26 (38%),63 (73%),34,18,3,2,17,11,3,0,1
Salernitana,Cremonese,2,2,52%,48%,10,12,2,1,2,2,0,6,432,400,6,7,345 (79%),313 (78%),3 (33%),6 (37%),25 (39%),14 (29%),6,25,5,5,25,15,3,0,0
Udinese Calcio,U.S. Lecce,1,1,57%,43%,16,6,4,3,2,2,0,2,456,339,11,5,354 (77%),229 (67%),2 (14%),2 (14%),34 (48%),33 (34%),16,28,7,14,19,22,0,4,0
Hellas Verona F. C.,A. S. Roma,1,3,32%,68%,14,1,4,2,4,3,1,1,258,553,5,10,183 (70%),473 (85%),0 (0%),3 (20%),24 (40%),25 (47%),14,22,8,8,15,15,3,2,-2
Torino F. C.,AC Milan,2,1,44%,56%,12,1,3,6,1,3,0,5,325,426,7,10,236 (72%),333 (78%),4 (30%),4 (40%),18 (21%),38 (44%),10,27,6,2,6,9,0,2,1
S.S. Lazio,Salernitana,1,3,61%,39%,13,10,3,1,4,5,3,4,660,422,9,9,588 (89%),344 (81%),3 (14%),1 (8%),37 (69%),28 (36%),16,16,6,5,11,19,3,3,-2
Cremonese,Udinese Calcio,0,0,41%,59%,13,13,5,3,7,4,2,3,343,532,9,9,268 (78%),440 (82%),8 (27%),1 (7%),13 (24%),34 (53%),29,15,11,6,19,18,3,2,0
Spezia Calcio,ACF Fiorentina,1,2,49%,51%,10,27,1,14,5,5,2,1,311,327,7,21,213 (68%),229 (70%),4 (23%),5 (35%),30 (32%),37 (37%),9,18,3,12,20,21,3,5,-1
Empoli F. C.,Atalanta B. C.,0,2,52%,48%,13,20,6,11,7,2,4,2,434,412,7,15,357 (82%),342 (83%),2 (9%),3 (30%),12 (26%),28 (40%),18,19,6,15,11,19,4,3,-2
Inter de Milán,U. C. Sampdoria,3,0,52%,48%,17,2,2,3,3,1,0,1,488,453,14,5,398 (81%),372 (82%),6 (37%),5 (19%),35 (58%),33 (42%),14,16,10,13,22,10,3,5,3
U.S. Lecce,Juventus de Turín,0,1,36%,64%,13,1,4,8,7,2,0,3,301,547,3,12,207 (68%),452 (82%),2 (11%),7 (28%),27 (38%),37 (45%),18,13,6,6,33,24,4,0,-1
S. S. C. Napoli,US Sassuolo Calcio,4,0,67%,33%,18,10,4,0,11,5,3,0,668,317,14,10,614 (91%),255 (80%),7 (33%),2 (13%),33 (71%),21 (46%),18,13,7,8,17,15,6,2,4
Cremonese,U. C. Sampdoria,0,1,52%,48%,21,11,6,1,5,1,4,2,381,368,13,6,288 (75%),275 (74%),7 (28%),1 (8%),29 (43%),36 (43%),15,17,10,13,14,21,3,4,-1
A. S. Roma,S. S. C. Napoli,0,1,40%,60%,12,3,3,3,4,3,0,3,357,529,3,11,269 (75%),453 (85%),1 (10%),2 (13%),32 (32%),20 (40%),30,18,8,7,21,11,4,0,-1
